years	months	days	hours	minutes	seconds	Q
2009	6	15	3	7	0	NaN
2009	6	15	3	8	0	NaN
2009	6	15	3	9	0	NaN
2009	6	15	3	10	0	NaN
2009	6	15	3	11	0	NaN
2009	6	15	3	12	0	NaN
2009	6	15	3	13	0	NaN
2009	6	15	3	14	0	NaN
2009	6	15	3	15	0	NaN
2009	6	15	3	16	0	NaN
2009	6	15	3	17	0	NaN
2009	6	15	3	18	0	NaN
2009	6	15	3	19	0	NaN
2009	6	15	3	20	0	NaN
2009	6	15	3	21	0	NaN
2009	6	15	3	22	0	NaN
2009	6	15	3	23	0	NaN
2009	6	15	3	24	0	NaN
2009	6	15	3	25	0	NaN
2009	6	15	3	26	0	NaN
2009	6	15	3	27	0	NaN
2009	6	15	3	28	0	NaN
2009	6	15	3	29	0	NaN
2009	6	15	3	30	0	NaN
2009	6	15	3	31	0	NaN
2009	6	15	3	32	0	NaN
2009	6	15	3	33	0	NaN
2009	6	15	3	34	0	NaN
2009	6	15	3	35	0	NaN
2009	6	15	3	36	0	NaN
2009	6	15	3	37	0	NaN
2009	6	15	3	38	0	NaN
2009	6	15	3	39	0	NaN
2009	6	15	3	40	0	NaN
2009	6	15	3	41	0	NaN
2009	6	15	3	42	0	NaN
2009	6	15	3	43	0	NaN
2009	6	15	3	44	0	NaN
2009	6	15	3	45	0	NaN
2009	6	15	3	46	0	NaN
2009	6	15	3	47	0	NaN
2009	6	15	3	48	0	NaN
2009	6	15	3	49	0	NaN
2009	6	15	3	50	0	NaN
2009	6	15	3	51	0	NaN
2009	6	15	3	52	0	NaN
2009	6	15	3	53	0	NaN
2009	6	15	3	54	0	NaN
2009	6	15	3	55	0	NaN
2009	6	15	3	56	0	NaN
2009	6	15	3	57	0	NaN
2009	6	15	3	58	0	NaN
2009	6	15	3	59	0	NaN
2009	6	15	4	0	0	NaN
2009	6	15	4	1	0	NaN
2009	6	15	4	2	0	NaN
2009	6	15	4	3	0	NaN
2009	6	15	4	4	0	NaN
2009	6	15	4	5	0	NaN
2009	6	15	4	6	0	NaN
2009	6	15	4	7	0	NaN
2009	6	15	4	8	0	NaN
2009	6	15	4	9	0	NaN
2009	6	15	4	10	0	NaN
2009	6	15	4	11	0	NaN
2009	6	15	4	12	0	NaN
2009	6	15	4	13	0	NaN
2009	6	15	4	14	0	NaN
2009	6	15	4	15	0	NaN
2009	6	15	4	16	0	NaN
2009	6	15	4	17	0	NaN
2009	6	15	4	18	0	NaN
2009	6	15	4	19	0	NaN
2009	6	15	4	20	0	NaN
2009	6	15	4	21	0	NaN
2009	6	15	4	22	0	NaN
2009	6	15	4	23	0	NaN
2009	6	15	4	24	0	NaN
2009	6	15	4	25	0	NaN
2009	6	15	4	26	0	NaN
2009	6	15	4	27	0	NaN
2009	6	15	4	28	0	NaN
2009	6	15	4	29	0	NaN
2009	6	15	4	30	0	NaN
2009	6	15	4	31	0	NaN
2009	6	15	4	32	0	NaN
2009	6	15	4	33	0	NaN
2009	6	15	4	34	0	NaN
2009	6	15	4	35	0	NaN
2009	6	15	4	36	0	NaN
2009	6	15	4	37	0	NaN
2009	6	15	4	38	0	NaN
2009	6	15	4	39	0	NaN
2009	6	15	4	40	0	NaN
2009	6	15	4	41	0	NaN
2009	6	15	4	42	0	NaN
2009	6	15	4	43	0	NaN
2009	6	15	4	44	0	NaN
2009	6	15	4	45	0	NaN
2009	6	15	4	46	0	NaN
2009	6	15	4	47	0	NaN
2009	6	15	4	48	0	NaN
2009	6	15	4	49	0	NaN
2009	6	15	4	50	0	NaN
2009	6	15	4	51	0	NaN
2009	6	15	4	52	0	NaN
2009	6	15	4	53	0	NaN
2009	6	15	4	54	0	NaN
2009	6	15	4	55	0	NaN
2009	6	15	4	56	0	NaN
2009	6	15	4	57	0	NaN
2009	6	15	4	58	0	NaN
2009	6	15	4	59	0	NaN
2009	6	15	5	0	0	NaN
2009	6	15	5	1	0	NaN
2009	6	15	5	2	0	NaN
2009	6	15	5	3	0	NaN
2009	6	15	5	4	0	NaN
2009	6	15	5	5	0	NaN
2009	6	15	5	6	0	NaN
2009	6	15	5	7	0	NaN
2009	6	15	5	8	0	NaN
2009	6	15	5	9	0	NaN
2009	6	15	5	10	0	NaN
2009	6	15	5	11	0	NaN
2009	6	15	5	12	0	NaN
2009	6	15	5	13	0	NaN
2009	6	15	5	14	0	NaN
2009	6	15	5	15	0	NaN
2009	6	15	5	16	0	NaN
2009	6	15	5	17	0	NaN
2009	6	15	5	18	0	NaN
2009	6	15	5	19	0	NaN
2009	6	15	5	20	0	NaN
2009	6	15	5	21	0	NaN
2009	6	15	5	22	0	NaN
2009	6	15	5	23	0	NaN
2009	6	15	5	24	0	NaN
2009	6	15	5	25	0	NaN
2009	6	15	5	26	0	NaN
2009	6	15	5	27	0	NaN
2009	6	15	5	28	0	NaN
2009	6	15	5	29	0	NaN
2009	6	15	5	30	0	NaN
2009	6	15	5	31	0	NaN
2009	6	15	5	32	0	NaN
2009	6	15	5	33	0	NaN
2009	6	15	5	34	0	NaN
2009	6	15	5	35	0	NaN
2009	6	15	5	36	0	NaN
2009	6	15	5	37	0	NaN
2009	6	15	5	38	0	NaN
2009	6	15	5	39	0	NaN
2009	6	15	5	40	0	NaN
2009	6	15	5	41	0	NaN
2009	6	15	5	42	0	NaN
2009	6	15	5	43	0	NaN
2009	6	15	5	44	0	NaN
2009	6	15	5	45	0	NaN
2009	6	15	5	46	0	NaN
2009	6	15	5	47	0	NaN
2009	6	15	5	48	0	NaN
2009	6	15	5	49	0	NaN
2009	6	15	5	50	0	NaN
2009	6	15	5	51	0	NaN
2009	6	15	5	52	0	NaN
2009	6	15	5	53	0	NaN
2009	6	15	5	54	0	NaN
2009	6	15	5	55	0	NaN
2009	6	15	5	56	0	NaN
2009	6	15	5	57	0	NaN
2009	6	15	5	58	0	NaN
2009	6	15	5	59	0	NaN
2009	6	15	6	0	0	NaN
2009	6	15	6	1	0	NaN
2009	6	15	6	2	0	NaN
2009	6	15	6	3	0	NaN
2009	6	15	6	4	0	NaN
2009	6	15	6	5	0	NaN
2009	6	15	6	6	0	NaN
2009	6	15	6	7	0	NaN
2009	6	15	6	8	0	NaN
2009	6	15	6	9	0	NaN
2009	6	15	6	10	0	NaN
2009	6	15	6	11	0	NaN
2009	6	15	6	12	0	NaN
2009	6	15	6	13	0	NaN
2009	6	15	6	14	0	NaN
2009	6	15	6	15	0	NaN
2009	6	15	6	16	0	NaN
2009	6	15	6	17	0	NaN
2009	6	15	6	18	0	NaN
2009	6	15	6	19	0	NaN
2009	6	15	6	20	0	NaN
2009	6	15	6	21	0	NaN
2009	6	15	6	22	0	NaN
2009	6	15	6	23	0	NaN
2009	6	15	6	24	0	NaN
2009	6	15	6	25	0	NaN
2009	6	15	6	26	0	NaN
2009	6	15	6	27	0	NaN
2009	6	15	6	28	0	NaN
2009	6	15	6	29	0	NaN
2009	6	15	6	30	0	NaN
2009	6	15	6	31	0	NaN
2009	6	15	6	32	0	NaN
2009	6	15	6	33	0	NaN
2009	6	15	6	34	0	NaN
2009	6	15	6	35	0	NaN
2009	6	15	6	36	0	NaN
2009	6	15	6	37	0	NaN
2009	6	15	6	38	0	NaN
2009	6	15	6	39	0	NaN
2009	6	15	6	40	0	NaN
2009	6	15	6	41	0	NaN
2009	6	15	6	42	0	NaN
2009	6	15	6	43	0	NaN
2009	6	15	6	44	0	NaN
2009	6	15	6	45	0	NaN
2009	6	15	6	46	0	NaN
2009	6	15	6	47	0	NaN
2009	6	15	6	48	0	NaN
2009	6	15	6	49	0	NaN
2009	6	15	6	50	0	NaN
2009	6	15	6	51	0	NaN
2009	6	15	6	52	0	NaN
2009	6	15	6	53	0	NaN
2009	6	15	6	54	0	NaN
2009	6	15	6	55	0	NaN
2009	6	15	6	56	0	NaN
2009	6	15	6	57	0	NaN
2009	6	15	6	58	0	NaN
2009	6	15	6	59	0	15270.222975045
2009	6	15	7	0	0	15268.5559423049
2009	6	15	7	1	0	15266.7180688022
2009	6	15	7	2	0	15266.3843084076
