Date	Heure	h1Neuville
22-Aug-2009	00:00:00	1.151
22-Aug-2009	01:00:00	0.601
22-Aug-2009	02:00:00	0.081
22-Aug-2009	03:00:00	-0.399
22-Aug-2009	04:00:00	-0.689
22-Aug-2009	05:00:00	0.591
22-Aug-2009	06:00:00	1.561
22-Aug-2009	07:00:00	2.751
22-Aug-2009	08:00:00	3.551
22-Aug-2009	09:00:00	3.601
22-Aug-2009	10:00:00	2.821
22-Aug-2009	11:00:00	2.091
22-Aug-2009	12:00:00	1.481
22-Aug-2009	13:00:00	0.911
22-Aug-2009	14:00:00	0.381
22-Aug-2009	15:00:00	-0.119
22-Aug-2009	16:00:00	-0.579
22-Aug-2009	17:00:00	-0.209
22-Aug-2009	18:00:00	1.001
22-Aug-2009	19:00:00	1.991
22-Aug-2009	20:00:00	3.051
22-Aug-2009	21:00:00	3.471
22-Aug-2009	22:00:00	2.931
22-Aug-2009	23:00:00	2.211
23-Aug-2009	00:00:00	1.581
23-Aug-2009	01:00:00	1.001
23-Aug-2009	02:00:00	0.461
23-Aug-2009	03:00:00	-0.029
23-Aug-2009	04:00:00	-0.489
23-Aug-2009	05:00:00	-0.489
23-Aug-2009	06:00:00	0.761
23-Aug-2009	07:00:00	1.741
23-Aug-2009	08:00:00	2.881
23-Aug-2009	09:00:00	3.571
23-Aug-2009	10:00:00	3.391
23-Aug-2009	11:00:00	2.651
23-Aug-2009	12:00:00	1.971
23-Aug-2009	13:00:00	1.371
23-Aug-2009	14:00:00	0.821
23-Aug-2009	15:00:00	0.301
23-Aug-2009	16:00:00	-0.179
23-Aug-2009	17:00:00	-0.559
23-Aug-2009	18:00:00	0.491
23-Aug-2009	19:00:00	1.441
23-Aug-2009	20:00:00	2.541
23-Aug-2009	21:00:00	3.381
23-Aug-2009	22:00:00	3.501
23-Aug-2009	23:00:00	2.801
24-Aug-2009	00:00:00	2.081
24-Aug-2009	01:00:00	1.471
24-Aug-2009	02:00:00	0.911
24-Aug-2009	03:00:00	0.381
24-Aug-2009	04:00:00	-0.109
24-Aug-2009	05:00:00	-0.549
24-Aug-2009	06:00:00	-0.079
24-Aug-2009	07:00:00	0.961
24-Aug-2009	08:00:00	1.891
24-Aug-2009	09:00:00	2.801
24-Aug-2009	10:00:00	3.111
24-Aug-2009	11:00:00	2.541
24-Aug-2009	12:00:00	1.901
24-Aug-2009	13:00:00	1.311
24-Aug-2009	14:00:00	0.741
24-Aug-2009	15:00:00	0.221
24-Aug-2009	16:00:00	-0.279
24-Aug-2009	17:00:00	-0.739
24-Aug-2009	18:00:00	-0.449
24-Aug-2009	19:00:00	0.721
24-Aug-2009	20:00:00	1.701
24-Aug-2009	21:00:00	2.821
24-Aug-2009	22:00:00	3.511
24-Aug-2009	23:00:00	3.381
